CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kanuvakarai BO,638459,BO,Delivery,COIMBATORE,TAMIL NADU,11.3347240,77.1189440
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Sellappampalayam BO,638459,BO,Delivery,COIMBATORE,TAMIL NADU,11.3263320,77.1464860
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Medur BO,641113,BO,Delivery,COIMBATORE,TAMIL NADU,11.2266830,76.8777500
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Alancombu BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.3123930,76.9932070
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kannampalayam BO,641402,BO,Delivery,COIMBATORE,TAMIL NADU,10.9930500,77.0974833
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Jalakarichal BO,641658,BO,Delivery,COIMBATORE,TAMIL NADU,11.0168440,76.9558320
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Jallipatti BO,641671,BO,Delivery,COIMBATORE,TAMIL NADU,10.8498020,77.2755080
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Kammalapatti BO,641671,BO,Delivery,COIMBATORE,TAMIL NADU,10.8417040,77.2509320
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Vadavedampatti BO,641671,BO,Delivery,COIMBATORE,TAMIL NADU,10.8598260,77.2214740
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Lakshminaickenpalayam BO,641658,BO,Delivery,COIMBATORE,TAMIL NADU,10.9249800,77.1513920
